Promo Year,Promo Year Week,Week End Date,Article/UPC Description,UPC,Site Number,Sales,Units,Promo Sales,Promo Units
2022,202206,2022-02-09,7Up Big Slam 1L 1000 Ml,00006540001093,300,$7.96,6,$0.00,0
2022,202206,2022-02-09,7Up Big Slam 1L 1000 Ml,00006540001093,3925,$290.54,219,$0.00,0
2022,202206,2022-02-09,Sprite Zero 355 Ml,00006700012056,1543,$43.78,33,$0.00,0
2022,202206,2022-02-09,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,7198,$18.98,3,$0.00,0
2022,202206,2022-02-09,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,7233,$18.98,3,$0.00,0
2022,202206,2022-02-09,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,7295,$18.98,3,$0.00,0
2022,202206,2022-02-09,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,7548,$37.96,6,$0.00,0
2022,202206,2022-02-09,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,7566,$37.96,6,$0.00,0
2022,202206,2022-02-09,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,7573,$18.98,3,$0.00,0
2022,202206,2022-02-09,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,8495,$18.98,3,$0.00,0
2022,202206,2022-02-09,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,8704,$35.16,6,$0.00,0
2022,202206,2022-02-09,Schweppe Ginger Ale 355 Ml,00001660001121,7195,$17.98,3,$0.00,0
2022,202206,2022-02-09,Schweppe Ginger Ale 355 Ml,00001660001121,7221,$17.98,3,$0.00,0
2022,202206,2022-02-09,Schweppe Ginger Ale 355 Ml,00001660001121,7225,$17.98,3,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,39,$33.96,6,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,48,$33.96,6,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,67,$33.96,6,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,86,$33.96,6,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,199,$101.88,18,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,300,$33.96,6,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,405,$69.52,12,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,408,$34.76,6,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,421,$86.90,15,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,507,$50.94,9,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,509,$50.94,9,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,514,$50.94,9,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,520,$16.98,3,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,521,$33.96,6,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,526,$84.90,15,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,528,$33.96,6,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,532,$84.90,15,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,535,$16.98,3,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,539,$33.96,6,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,540,$50.94,9,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,543,$33.96,6,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,551,$95.88,18,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,552,$16.98,3,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,554,$33.96,6,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,559,$67.92,12,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,560,$16.98,3,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,563,$50.94,9,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,565,$33.96,6,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,573,$33.96,6,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,576,$152.82,27,$0.00,0
2022,202206,2022-02-09,Big8 Tonic Water 2000 Ml,00006448001142,577,$47.94,9,$0.00,0
