Promo Year,Promo Year Week,Week End Date,Article/UPC Description,UPC,Site Number,Sales,Units,Promo Sales,Promo Units
2022,202201,2022-01-05,7Up Big Slam 1L 1000 Ml,00006540001093,300,$27.86,14,$0.00,0
2022,202201,2022-01-05,7Up Big Slam 1L 1000 Ml,00006540001093,3925,$87.56,44,$0.00,0
2022,202201,2022-01-05,Sprite Zero 355 Ml,00006700012056,1575,$7.96,4,$0.00,0
2022,202201,2022-01-05,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,5401,$18.98,2,$0.00,0
2022,202201,2022-01-05,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,7198,$37.96,4,$0.00,0
2022,202201,2022-01-05,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,7233,$18.98,2,$0.00,0
2022,202201,2022-01-05,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,7295,$18.98,2,$0.00,0
2022,202201,2022-01-05,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,7566,$18.98,2,$0.00,0
2022,202201,2022-01-05,Cocacola Classic 237Ml 6Pk 1422 Ml,00006700011268,7573,$18.98,2,$0.00,0
2022,202201,2022-01-05,Schweppe Ginger Ale 355 Ml,00001660001121,7179,$11.98,2,$0.00,0
2022,202201,2022-01-05,Schweppe Ginger Ale 355 Ml,00001660001121,7225,$17.98,2,$0.00,0
2022,202201,2022-01-05,Big8 Tonic Water 2000 Ml,00006448001142,39,$13.98,2,$13.98,2
2022,202201,2022-01-05,Big8 Tonic Water 2000 Ml,00006448001142,46,$41.94,6,$41.94,6
2022,202201,2022-01-05,Big8 Tonic Water 2000 Ml,00006448001142,48,$27.96,4,$27.96,4
2022,202201,2022-01-05,Big8 Tonic Water 2000 Ml,00006448001142,55,$13.98,2,$13.98,2
2022,202201,2022-01-05,Big8 Tonic Water 2000 Ml,00006448001142,65,$34.90,10,$34.90,10
2022,202201,2022-01-05,Big8 Tonic Water 2000 Ml,00006448001142,67,$41.94,6,$41.94,6
2022,202201,2022-01-05,Big8 Tonic Water 2000 Ml,00006448001142,78,$41.94,6,$41.94,6
2022,202201,2022-01-05,Big8 Tonic Water 2000 Ml,00006448001142,86,$55.92,8,$55.92,8
2022,202201,2022-01-05,Big8 Tonic Water 2000 Ml,00006448001142,96,$55.92,8,$55.92,8
2022,202201,2022-01-05,Big8 Tonic Water 2000 Ml,00006448001142,300,$27.96,4,$27.96,4
2022,202201,2022-01-05,Big8 Tonic Water 2000 Ml,00006448001142,421,$86.90,10,$0.00,0
2022,202201,2022-01-05,Big8 Tonic Water 2000 Ml,00006448001142,440,$17.98,2,$0.00,0
