Product & Geography Sales Metrics (CCL Supplier),,,,
Time:Week Ending 11-02-22,,,,
CCL Supplier:All CCL Suppliers,,,,
CCL Brand:All CCL Brands,,,,
Geography,Product,UPC ID,Dollar Sales,Unit Sales
0010,Comp Soft Drink Cola 1332 Ml,00005574255844,1638.36,246
0013,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,527.52,72
0020,Grizzlypaw Ginger Beer 1420 Ml,00018244001198,447.68,48
0021,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,397.64,54
0008,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,395.64,54
0001,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,351.68,48
0001,Comp Soft Drink Cola 1332 Ml,00005574255844,285.32,42
0001,Stewart Soda Black Cherry 355 Ml,00009879401039,279.8,30
0005,Canaddry Gingerale Diet 4260 Ml,00006210001894,271.66,51
0003,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,263.76,36
0007,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,263.76,36
0011,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,263.76,36
0023,Grizzlypaw Ginger Beer 1420 Ml,00018244001198,251.82,27
0021,Comp Soft Drink Cola 1332 Ml,00005574255844,239.76,36
0013,Canaddry Gingerale Diet 4260 Ml,00006210001894,223.72,42
0006,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,197.82,27
0001,Mountain Dew Diet 591 Ml,00006900006058,181.86,21
0001,Dads Root Beer 4 Ea,00083362701040,179.8,30
0026,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,175.84,24
0008,Stewart Soda Black Cherry 355 Ml,00009879401039,167.88,18
0014,Cocacola Zero Sugar Move 300 Ml,00006700001017,167.86,21
0003,Comp Soft Drink Cola 1332 Ml,00005574255844,159.84,24
0008,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,159.84,24
0003,Sprite 250 Ml,00006700001921,155.88,18
