Product & Geography Sales Metrics (CCL Supplier),,,,
Time:Week Ending 11-03-21,,,,
CCL Supplier:All CCL Suppliers,,,,
CCL Brand:All CCL Brands,,,,
Geography,Product,UPC ID,Dollar Sales,Unit Sales
0007,Minhascr Ginger Beer 330 Ml,00008526841494,597.54,69
0013,Cocacola Zero Sugar Move 300 Ml,00006700001017,311.74,39
0001,Fentiman Ginger Beer 275 Ml,00502939601031,307.78,33
0003,Fentiman Ginger Beer 275 Ml,00502939601031,307.78,33
0001,Cocacola Cherry Coke 330 Ml,00544900001950,296.78,33
0007,Stewarts Soda Grape 355 Ml,00009879401035,285.78,33
0011,Dads Root Beer 4 Ea,00083362701040,255.68,48
0007,Comp Soft Drink Cola 1332 Ml,00005574255844,239.8,30
0024,Sprite Zero 4260 Ml,00006700001387,223.72,42
0013,Pepsi Multipack 4260 Ml,00006900001984,215.88,18
0013,1642Toni Bev Sparkling Light 750 Ml,00062805581936,209.72,42
0001,7Up Soft Drink Diet 1332 Ml,00006540001808,207.84,24
0001,Candry Ginger Ale Cbry 355Ml 355 Ml,00006210001248,207.84,24
0013,Canaddry Gingerale Diet 4260 Ml,00006210001894,199.8,30
0020,Annex Root Beer 355 Ml,00062850433304,199.8,30
0011,Fentiman Ginger Beer 275 Ml,00502939601031,195.86,21
0021,Cocacola Zero Sugar Move 300 Ml,00006700001017,191.84,24
0011,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,191.76,36
0019,Philips Soda Cola All Natural 355 Ml,00081827801902,188.86,21
0023,Mountain Dew Diet 591 Ml,00006900006058,181.86,21
0001,Grizzlypaw Ginger Beer 1420 Ml,00087452801002,175.78,33
0002,Cocacola Zero Sugar Move 300 Ml,00006700001017,167.86,21
0023,Comp Soft Drink Cola 1332 Ml,00005574255844,167.86,21
0002,Cocacola Cherry Coke 330 Ml,00544900001950,161.88,18
0014,Philips Soda Cola All Natural 355 Ml,00081827801902,161.88,18
