Product & Geography Sales Metrics (Gold),,,,
Time:Week Ending 01-10-24,,,,
Province:All Provinces,,,,
Supplier:All Supplier,,,,
Brand:All Brands,,,,
SOF Same Store:All Stores,,,,
e_Commerce:All Sales,,,,
Geography,Product,UPC ID,Dollar Sales,Unit Sales
4708,Cocacola Diet 2000 Ml,00006700001897,116.28,18
4708,Canaddry Gingerale Diet 4260 Ml,00006210001894,61.54,9
4708,Cocacola Zero 500 Ml,00006700001463,12,6
4708,Marble Pop Blueberry 200 Ml,00007441078814,18,9
4705,A&W Rootbeer 355Ml 355 Ml,00005953101002,77.94,9
4705,7Up Soft Drink Diet 1332 Ml,00006540001808,95.92,12
4705,Pepsi Multipack 4260 Ml,00006900001984,113.94,9
4705,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,28.98,3
4705,Canaddry Ginger Ale Diet 1332 Ml,00006210002038,39.96,6
4705,Brio Soft Drink Chinotto Btl 355 Ml,00005995721320,77.52,12
4705,Cocacola Diet 2000 Ml,00006700001897,19.38,3
4705,Comp Soft Drink Cola 1332 Ml,00005574255844,29.98,3
4705,Canaddry Gingerale Diet 4260 Ml,00006210001894,68.52,12
4705,Marble Pop Blueberry 200 Ml,00007441078814,6,3
4705,Pepsi 1000 Ml,00006900001982,18,9
4705,Mountain Dew Diet 591 Ml,00006900006058,33.98,3
4705,Candry Ginger Ale Cbry 355Ml 355 Ml,00006210001248,33.98,3
4709,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,28.98,3
4709,Canaddry Ginger Ale Diet 1332 Ml,00006210002038,17.38,3
4709,Canaddry Gingerale Diet 4260 Ml,00006210001894,20.98,3
4713,Canaddry Ginger Ale Diet 1332 Ml,00006210002038,19.98,3
4713,Brio Soft Drink Chinotto Btl 355 Ml,00005995721320,38.76,6
4713,Canaddry Gingerale Diet 4260 Ml,00006210001894,68.52,12
4713,Cocacola Zero 500 Ml,00006700001463,24,12
4714,7Up Soft Drink Diet 1332 Ml,00006540001808,71.94,9
4714,Pepsi Multipack 4260 Ml,00006900001984,75.96,6
4714,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,86.94,9
