Product & Geography Sales Metrics,,,,
Time:Promo Week Ending 110624,,,,
Sobeys Brand:All Brands,,,,
Sobeys Sales Organizations:All Sales Organizations,,,,
Vendor:All Vendors,,,,
Geography,Product,UPC No,Dollar Sales All Sales,Unit Sales All Sales
Store 6,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,43.96,6
Store 7,Schwepps Gingerale Cn 24X355Ml 355 Ml,00001660052100,23.98,3
Store 7,Canaddry Gingerale 355 Ml,00006210001893,19.9,15
Store 7,A&W Root Beer 1332 Ml,00005953101282,21.98,3
Store 8,Canaddry Gingerale 355 Ml,00006210001893,23.88,18
Store 8,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,53.94,9
Store 8,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,111.92,12
Store 8,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,11.98,3
Store 8,Fevertre Water Tonic 800 Ml,00089819501101,79.92,12
Store 8,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,65.94,9
Store 8,Cocacola Classic 8520 Ml,00006700002011,137.92,12
Store 9,Canaddry Gingerale 355 Ml,00006210001893,7.88,6
Store 9,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,111.92,12
Store 9,Pepsi Diet Multipack 710Ml 6Pk 4260 Ml,00006900002066,43.98,3
Store 9,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,35.82,9
Store 9,Fevertre Tonic Water Light 800 Ml,00506010846023,23.88,6
Store 9,Fevertre Water Tonic 800 Ml,00089819501101,19.94,3
Store 9,Comp Soft Drink Cola 1332 Ml,00005574255844,21.94,3
Store 10,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,27.98,3
Store 10,Comp Soft Drink Cola 1332 Ml,00005574255844,21.94,3
Store 11,Canaddry Gingerale 355 Ml,00006210001893,7.88,6
Store 11,Pepsi Throwback 355 Ml,00006900002088,29.94,9
Store 11,Comp Soft Drink Cola 1332 Ml,00005574255844,43.88,6
Store 11,A&W Root Beer 1332 Ml,00005953101282,21.94,3
Store 11,Dads Root Beer 4 Ea,00083362701040,12.94,3
Store 12,Canaddry Gingerale 1332 Ml,00006210001144,19.94,3
Store 12,7Up Soft Drink Diet 1332 Ml,00006540001808,23.98,3
Store 12,Canaddry Gingerale 355 Ml,00006210001893,15.76,12
Store 12,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,269.7,45
Store 12,Pepsi Throwback 355 Ml,00006900002088,19.96,6
Store 12,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,34.98,3
Store 12,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,27.98,3
Store 12,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,47.76,12
Store 12,Fevertre Tonic Water Light 800 Ml,00506010846023,23.88,6
Store 12,Big8 Soda Orange 355 Ml,00006448001802,43.96,6
Store 12,Fevertre Water Tonic 800 Ml,00089819501101,19.94,3
Store 12,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,43.88,6
Store 12,Cocacola Classic 8520 Ml,00006700002011,209.88,18
Store 12,Dads Root Beer 4 Ea,00083362701040,51.76,12
Store 12,Fentimans Ginger Beer 800 Ml,00502939601222,12.94,3
Store 12,Cocacola Zero 500 Ml,00006700001463,11.96,6
Store 13,Canaddry Gingerale 1332 Ml,00006210001144,19.94,3
Store 13,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,17.98,3
Store 13,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,34.98,3
Store 13,Pepsi Diet Multipack 710Ml 6Pk 4260 Ml,00006900002066,87.96,6
Store 13,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,43.88,6
Store 13,Cocacola Classic 8520 Ml,00006700002011,29.98,3
Store 14,Pepsi 1332 Ml,00006900015902,19.94,3
Store 14,Schwepps Gingerale Cn 24X355Ml 355 Ml,00001660052100,23.98,3
Store 14,Canaddry Gingerale 355 Ml,00006210001893,3.94,3
Store 14,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,17.98,3
Store 14,Pepsi Throwback 355 Ml,00006900002088,9.98,3
Store 14,Pepsi Diet Multipack 710Ml 6Pk 4260 Ml,00006900002066,87.96,6
Store 14,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,11.94,3
Store 14,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,21.94,3
Store 14,Cocacola Classic 8520 Ml,00006700002011,35.98,3
Store 15,Canaddry Gingerale 1332 Ml,00006210001144,19.98,3
Store 15,Pepsi 1332 Ml,00006900015902,39.96,6
Store 15,Cocacola Zero 222Ml Mini Sleek 1332 Ml,00006700011985,59.94,9
